time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-05-31 08:44:03.936 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,156168454144,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1590914643549, , , , ,3145728,1218, , , ,7,4,21,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,25944064,2, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-31 08:45:03.943 UTC, ,1029,3174277,1312,27296,224, ,5, ,224, , , , , , , , , ,5,5, , , , ,1,6, ,191, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,19108,156168290304,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19108, ,1590914643549, , , , ,3145728,20100, , , ,8, ,208, ,2, , , ,3,49, , , , , , , , , , , ,4096,2,18883,49, , , , , , , , ,29089792,3, , , , , , ,321, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,23, ,37, , ,48,9,5, , , , , , 
2020-05-31 08:46:03.950 UTC, ,1029,3174277,1312,27296,224, ,5, ,28, , , , , , , , , ,5,5, , , , ,1,6, ,27, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,22796,156167839744,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22796, ,1590914643549, , , , ,3145728,22747, , , ,7, ,31, , , , , ,3,6, , , , , , , , , , , , , ,2647,6, , , , , , , , ,29089792,2, , , , , , ,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,3, ,3,4, , , , , , , , 
2020-05-31 08:47:03.956 UTC, ,1029,3174277,1312,27296,224, ,5, ,13, , , , , , , , , ,5,5, , , , ,1,6, ,12, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,23798,156164620288,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23798, ,1590914643549, , , , ,3145728,23749, , , ,4, ,8, , , , , ,3,2, , , , , , , , , , , , , ,1002,2, , , , , , , , ,30138368,2, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,5, , , , , , , , 
2020-05-31 08:48:03.961 UTC, ,1029,3174277,1312,27296,224, ,5, ,1, , , , , , , , , ,5,5, , , , ,1,6, ,1, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,23798,156164616192,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23798, ,1590914643549, , , , ,3145728,23749, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,30138368,2, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2020-05-31 08:49:03.924 UTC, ,1029,3174277,1312,27296,224, ,5, ,1, , , , , , , , , ,5,5, , , , ,1,6, ,1, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,23798,156164612096,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23798, ,1590914643549, , , , ,3145728,23749, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,30138368,2, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2020-05-31 08:50:03.920 UTC, ,1469,3174717,1312,27296,224, ,5, ,63, , , , , , , , , ,5,5, , , , ,1,6, ,60, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,29435,156163538944,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29435, ,1590914643549, , , , ,3145728,29384, , , ,7, ,62, , , , , ,3,13, , , , , , , , , , , , , ,5637,13, , , , , , ,1,10,13328672,2, , , , , , ,86, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,7, , ,19,1, , , , , , , 
2020-05-31 08:51:03.926 UTC, ,1469,3174717,1312,27296,224, ,5, ,5, , , , , , , , , ,5,5, , , , ,1,6, ,5, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,29435,156162486272,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29435, ,1590914643549, , , , ,3145728,29384, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,15425824,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , , , , , 
2020-05-31 08:52:03.927 UTC, ,1469,3176037,1312,28616,224, ,5, ,63, , , , , , , , , ,5,5, , , , ,1,5, ,61, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,32116,156162486272,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32116, ,1590914643549, , , , ,3145728,35032, , , ,7, ,52, , , , , ,3,11, , , , , , , , , , , , , ,5648,11, , , , , , , , ,15425824,2, , , , , , ,83, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,5, ,6, , ,27,1, , , , , , , 
2020-05-31 08:53:03.932 UTC, ,1909,3176477,1312,28616,224, ,5, ,83, , , , , , , , , ,5,5, , , , ,1,5, ,80, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,38985,156177039360,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38985, ,1590914643549, , , , ,3145728,43425, , , ,11, ,88, , , , , ,3,19, , , , , , , , , , , , , ,8393,19, , , , , , , , ,16474400,2, , , , , , ,118, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, ,9, ,4,14, , , , , , , , 
